OPEID;INSTNM;CITY;STABBR;ZIP;INSTURL;REGION;LOCALE;ADM_RATE;COSTT4_A
189700;Wartburg Theological Seminary;Dubuque;IA;52003-7769;https://www.wartburgseminary.edu;4;13.0;;
794100;The Salon Professional Academy-Cedar Falls;Cedar Falls;IA;50613;tspacedarfalls.com;4;13.0;;
731600;Western Iowa Tech Community College;Sioux City;IA;51102-5199;https://www.witcc.edu;4;13.0;;12396.0
190000;William Penn University;Oskaloosa;IA;52577;www.wmpenn.edu;4;33.0;0.5379;35896.0
190100;Allen County Community College;Iola;KS;66749;www.allencc.edu;4;33.0;;11068.0
190300;Baker University;Baldwin City;KS;66006-0065;https://www.bakeru.edu;4;31.0;0.8571;41870.0
460800;Barton County Community College;Great Bend;KS;67530;www.bartonccc.edu;4;41.0;;14399.0
1025600;Benedictine College;Atchison;KS;66002-1499;www.benedictine.edu;4;32.0;0.9747;42066.0
190400;Bethany College;Lindsborg;KS;67456-1897;https://www.bethanylb.edu;4;33.0;0.6664;41886.0
190500;Bethel College-North Newton;North Newton;KS;67117-1716;www.bethelks.edu;4;32.0;0.5576;40299.0
3066200;Bryan University;Topeka;KS;66604;www.bryanu.edu;4;12.0;;25070.0
190600;Butler Community College;El Dorado;KS;67042-3280;www.butlercc.edu/;4;32.0;;12343.0
190800;Central Christian College of Kansas;McPherson;KS;67460-5740;www.centralchristian.edu;4;33.0;0.3933;28652.0
190900;Cloud County Community College;Concordia;KS;66901-1002;https://www.cloud.edu;4;41.0;;10248.0
191000;Coffeyville Community College;Coffeyville;KS;67337-5064;www.coffeyville.edu;4;33.0;;9773.0
191100;Colby Community College;Colby;KS;67701;www.colbycc.edu;4;33.0;;12786.0
190200;Cowley County Community College;Arkansas City;KS;67005;www.cowley.edu;4;32.0;;12961.0
191300;Dodge City Community College;Dodge City;KS;67801-2399;www.dc3.edu;4;33.0;;11396.0
191400;Donnelly College;Kansas City;KS;66102;donnelly.edu;4;12.0;;14829.0
192700;Emporia State University;Emporia;KS;66801-5415;www.emporia.edu;4;33.0;0.8275;18154.0
526400;Flint Hills Technical College;Emporia;KS;66801-5957;www.fhtc.edu;4;33.0;;19085.0
191500;Fort Hays State University;Hays;KS;67601-4099;www.fhsu.edu;4;33.0;0.8862;16753.0
191700;Barclay College;Haviland;KS;67059-0288;www.barclaycollege.edu;4;43.0;0.6697;28990.0
191800;Friends University;Wichita;KS;67213;www.friends.edu;4;11.0;0.4801;38141.0
191600;Fort Scott Community College;Fort Scott;KS;66701;www.fortscott.edu;4;33.0;;10525.0
191900;Garden City Community College;Garden City;KS;67846-6333;www.gcccks.edu;4;33.0;;12256.0
1043800;Haskell Indian Nations University;Lawrence;KS;66046-4800;www.haskell.edu;4;13.0;0.8157;8958.0
2257700;Hays Academy of Hair Design;Hays;KS;67601;www.haysacademy.com;4;33.0;;
192000;Hesston College;Hesston;KS;67062-2093;www.hesston.edu;4;32.0;;38138.0
192100;Highland Community College;Highland;KS;66035-4165;www.highlandcc.edu;4;42.0;;11596.0
